M N progIN reset progLoad start result clk valid done output
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
1 1 0 0 0 0 0 0 x x x
1 1 0 0 0 0 0 1 x x x
0 0 0 0 0 0 1 0 1 0 x
0 0 0 0 0 0 1 1 1 0 11
0 0 0 0 0 0 0 0 1 0 11
0 0 0 0 0 0 0 1 1 0 0b11111101
0 0 0 0 0 0 0 0 1 0 0b11111101
0 0 0 0 0 0 0 1 1 0 0b00011100
0 0 0 0 0 0 0 0 1 0 0b00011100
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 4
0 0 0 0 0 0 0 0 1 0 4
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0b11111011
0 0 0 0 0 0 0 0 1 0 0b11111011
0 0 0 0 0 0 0 1 1 0 4
0 0 0 0 0 0 0 0 1 0 4
0 0 0 0 0 0 0 1 1 0 7
0 0 0 0 0 0 0 0 1 0 7
0 0 0 0 0 0 0 1 1 0 3
0 0 0 0 0 0 0 0 1 0 3
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 1 x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 1 0 0 0 0 x x x
0 0 0 1 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 x x x
0 0 0 0 0 0 0 1 x x x
0 0 0 0 0 0 0 0 0 0 x
0 0 0 0 0 0 0 1 0 0 x
0 0 0 0 0 1 0 0 0 0 x
0 0 0 0 0 1 0 1 0 0 x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
25 25 0 0 0 0 0 0 x x x
25 25 0 0 0 0 0 1 x x x
0 0 0 0 0 0 1 0 1 0 x
0 0 0 0 0 0 1 1 1 0 11
0 0 0 0 0 0 0 0 1 0 11
0 0 0 0 0 0 0 1 1 0 0xFD
0 0 0 0 0 0 0 0 1 0 0xFD
0 0 0 0 0 0 0 1 1 0 28
0 0 0 0 0 0 0 0 1 0 28
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 4
0 0 0 0 0 0 0 0 1 0 4
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0xFB
0 0 0 0 0 0 0 0 1 0 0xFB
0 0 0 0 0 0 0 1 1 0 4
0 0 0 0 0 0 0 0 1 0 4
0 0 0 0 0 0 0 1 1 0 7
0 0 0 0 0 0 0 0 1 0 7
0 0 0 0 0 0 0 1 1 0 3
0 0 0 0 0 0 0 0 1 0 3
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 0 0
0 0 0 0 0 0 0 0 1 0 0
0 0 0 0 0 0 0 1 1 1 x
